category,values,original,difference,percentage
turretsLost,62.44411326,97.3,-34.85588674,44.88845684
champExperience,76.42168013,97.3,-20.87831987,26.88772681
goldSpent,90.91301279,97.3,-6.386987215,8.225353786
goldEarned,93.43085732,97.3,-3.869142678,4.98279804
assists,93.45438858,97.3,-3.845611421,4.952493781
turretTakedowns,96.26637383,97.3,-1.033626167,1.331134793
bountyLevel,96.40756138,97.3,-0.892438623,1.149309238
deaths,96.76053024,97.3,-0.539469762,0.694745347
itemsPurchased,96.80759275,97.3,-0.492407248,0.634136829
longestTimeSpentLiving,96.86249902,97.3,-0.43750098,0.56342689
kills,96.93701467,97.3,-0.362985332,0.467463402
magicDamageTaken,96.99584281,97.3,-0.304157189,0.391702755
inhibitorsLost,97.00368656,97.3,-0.296313436,0.381601334
totalTimeSpentDead,97.03506157,97.3,-0.264938427,0.341195656
totalDamageDealtToChampions,97.03898345,97.3,-0.26101655,0.336144945
physicalDamageTaken,97.04290533,97.3,-0.257094674,0.331094236
totalMinionsKilled,97.0468272,97.3,-0.253172798,0.326043526
totalDamageDealt,97.07428034,97.3,-0.225719664,0.290688556
inhibitorTakedowns,97.10173347,97.3,-0.198266531,0.255333588
totalHeal,97.13703036,97.3,-0.162969645,0.209877199
spell1Casts,97.15663974,97.3,-0.143360264,0.18462365
totalDamageTaken,97.15663974,97.3,-0.143360264,0.18462365
damageDealtToObjectives,97.16840537,97.3,-0.131594635,0.16947152
consumablesPurchased,97.18801475,97.3,-0.111985254,0.14421797
individualPosition,97.18801475,97.3,-0.111985254,0.14421797
physicalDamageDealt,97.18801475,97.3,-0.111985254,0.14421797
championId,97.19193662,97.3,-0.108063378,0.139167261
magicDamageDealtToChampions,97.211546,97.3,-0.088453996,0.11391371
summoner1Casts,97.211546,97.3,-0.088453996,0.11391371
largestMultiKill,97.21546788,97.3,-0.08453212,0.108863001
magicDamageDealt,97.22331163,97.3,-0.076688368,0.098761581
physicalDamageDealtToChampions,97.22331163,97.3,-0.076688368,0.098761581
dragonKills,97.22723351,97.3,-0.072766491,0.093710871
turretKills,97.23899914,97.3,-0.061000863,0.078558742
totalDamageShieldedOnTeammates,97.24292101,97.3,-0.057078987,0.073508032
trueDamageTaken,97.24292101,97.3,-0.057078987,0.073508032
baronKills,97.25468664,97.3,-0.045313358,0.058355902
spell2Casts,97.25860852,97.3,-0.041391482,0.053305193
timeCCingOthers,97.25860852,97.3,-0.041391482,0.053305193
visionScore,97.25860852,97.3,-0.041391482,0.053305193
firstTowerAssist,97.26645227,97.3,-0.033547729,0.043203772
spell3Casts,97.27429602,97.3,-0.025703977,0.033102353
visionWardsBoughtInGame,97.28213978,97.3,-0.017860224,0.023000932
spell4Casts,97.28606165,97.3,-0.013938348,0.017950223
summonerLevel,97.28606165,97.3,-0.013938348,0.017950223
totalUnitsHealed,97.28606165,97.3,-0.013938348,0.017950223
killingSprees,97.28998353,97.3,-0.010016472,0.012899513
wardsPlaced,97.28998353,97.3,-0.010016472,0.012899513
damageDealtToTurrets,97.29782728,97.3,-0.002172719,0.002798093
largestKillingSpree,97.29782728,97.3,-0.002172719,0.002798093
